timestamp,acc_x,acc_y,acc_z,w_x,w_y,w_z,comp_x,comp_y,comp_z
70.464,1.2492390094613524,0.030360649989133737,9.83766182862083,0.0,0.0,0.012380823379375922,0.012004577122682703,0.9999279424679088,0.0
70.48,9.168192209871885e-06,0.031125685796776683,9.738334149299568,0.0,0.0,0.012359091044992337,0.01220228878967734,0.9999255493026935,0.0
70.496,9.126470180775155e-06,0.03070233631893981,9.77047423064939,0.0,0.0,0.01233644467752873,0.012399671359407905,0.9999231211199082,0.0
70.512,9.089393487019032e-06,0.030668988430059295,9.794306431242857,0.0,0.0,0.012320757512153386,0.012596766537821748,0.9999206575887867,0.0
70.528,9.106953553611528e-06,0.030883603794015838,9.87797103577799,0.0,0.0,0.012301973626622505,0.012793617054873536,0.9999181583322974,0.0
70.544,9.03335687531121e-06,0.03068889178286805,9.836616289269493,0.0,0.0,0.012292777214776219,0.012990266739758416,0.9999156229252696,0.0
70.56,9.084795620912487e-06,0.030832359868344667,9.755323138871228,0.0,0.0,0.012281611571203353,0.013186760601042232,0.9999130508923519,0.0
70.57600000000001,9.081497765294986e-06,0.030800859168878612,9.770745891335158,0.0,0.0,0.012275070665303388,0.013383144913237765,0.9999104417057716,0.0
70.592,9.00940913890083e-06,0.030624743830929353,9.713804948683354,0.0,0.0,0.012271975031784128,0.013579467310035582,0.9999077947828868,0.0
70.608,9.082984871243572e-06,0.030575406645165084,9.800454135894947,0.0,0.0,0.012272557936121706,0.013775776884387506,0.9999051094835107,0.0
70.624,9.084859787291478e-06,0.03074066750277565,9.809923231027499,0.0,0.0,0.0122730639651619,0.013972124296773147,0.9999023851069843,0.0
70.64,9.027394844923677e-06,0.03075575231072816,9.743849709696704,0.0,0.0,0.012278582163158483,0.014168561892118318,0.9998996208889717,0.0
70.656,9.022469430977652e-06,0.030750104042963425,9.828719431289512,0.0,0.0,0.012286755428995282,0.014365143826311617,0.9998968159979555,0.0
70.672,9.120716598337155e-06,0.030563083564968976,9.837666301845525,0.0,0.0,0.012300376554246603,0.014561926203192235,0.9998939695313963,0.0
70.688,9.11552981768601e-06,0.030745501505502506,9.81861236959733,0.0,0.0,0.012317441347850365,0.014758967223414826,0.9998910805115216,0.0
70.70400000000001,9.088503261104936e-06,0.03076410184701865,9.781703743175354,0.0,0.0,0.012337662330870518,0.01495632734614013,0.9998881478807095,0.0
70.72,9.145161463390294e-06,0.030775913566133156,9.786180619561016,0.0,0.0,0.012361104641760101,0.01515406946496882,0.999885170496418,0.0
70.736,9.260081248832223e-06,0.03072836025828554,9.786023736852613,0.0,0.0,0.01238646526623971,0.01535225909991388,0.9998821471256145,0.0
70.752,9.255567668207934e-06,0.03099721599753151,9.856440991818125,0.0,0.0,0.012421211826278165,0.01555096460684626,0.9998790764386445,0.0
70.768,9.285565886925311e-06,0.03083543435630756,9.813648310294736,0.0,0.0,0.012457397814129844,0.015750257406984505,0.9998759570024742,0.0
70.784,9.332816068157186e-06,0.030982536992089544,9.814338900002578,0.0,0.0,0.012500683329663968,0.015950212238045353,0.9998727872732417,0.0
70.8,9.363351353647543e-06,0.03130587538617177,9.792824748013388,0.0,0.0,0.01254600571696916,0.01615090743006436,0.9998695655880249,0.0
70.816,9.517769106820867e-06,0.031334100307279046,9.779243880904735,0.0,0.0,0.012594689792462628,0.016352425208894624,0.9998662901557327,0.0
70.83200000000001,9.56738980173477e-06,0.031293874659196794,9.780787819312838,0.0,0.0,0.012652850415250376,0.016554852030691052,0.9998629590470096,0.0
70.848,9.594290524966143e-06,0.03164127597908813,9.767419629284914,0.0,0.0,0.012718547002661734,0.016758278951168666,0.9998595701830306,0.0
70.864,9.786528569859469e-06,0.03153398807370616,9.80400926499658,0.0,0.0,0.012784105800258698,0.01696280203437193,0.9998561213230347,0.0
70.88,9.772235223160712e-06,0.03178404713890091,9.778513177810321,0.0,0.0,0.012860460205935243,0.017168522805676933,0.9998526100504369,0.0
70.896,9.934224827069883e-06,0.032085998729734465,9.834812186490996,0.0,0.0,0.012940135534697018,0.017375548755915092,0.9998490337573122,0.0
